Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2015,aston martin,ASX,Aston Martin,DB9,143TT1042,0,5.9,DASXV05.9VH1,Car,510,12,AM11/,SA,Semi-Automatic,6,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4500,3.46,31,1,Not eqipped,DASX10022045,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0251,0.12,550.27,0.02,,0.0033,0.0024,16.1,MPG,15.803,15.157,18.626,,43.17,0.7502,0.0163,8.35,0.299,0.0192,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,DB9,143TT1042,0,5.9,DASXV05.9VH1,Car,510,12,AM11/,SA,Semi-Automatic,6,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4500,3.46,31,1,Not eqipped,DASX10022046,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0022,0.0118,343.88,0.0067,,,,25.8,MPG,,,,,43.17,0.7502,0.0163,8.35,0.299,0.0192,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4750,2.73,22.4,1,Not eqipped,FASX10032202,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0269,0.5,511.93,0.009,,0.0066,,17.3,MPG,17.438,15.956,20.413,,32.66,0.6085,0.0198,1.093,2.198,0.028,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4750,2.73,22.4,1,Not eqipped,FASX10032203,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0008,0.06,296.63,0.001,,,,29.9,MPG,,,,,32.66,0.6085,0.0198,1.093,2.198,0.028,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V12 Vantage S,288TT2087,0,6,FASXV06.0VHB,Car,565,12,AM28/,SA,Semi-Automatic,7,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4250,3.73,33.6,2,"Equipped, not shifted by SIL",FASX10028338,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0248,0.61,603.49,0.011,,0.0045,0.0024,14.8,MPG,14.321,13.692,17.908,,43.24,0.6321,0.0181,17.42,0.4063,0.0186,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V12 Vantage S,288TT2087,0,6,FASXV06.0VHB,Car,565,12,AM28/,SA,Semi-Automatic,7,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4250,3.73,33.6,2,"Equipped, not shifted by SIL",FASX10028339,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005,0.05,353.09,0.002,,,,25.3,MPG,,,,,43.24,0.6321,0.0181,17.42,0.4063,0.0186,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V8 VANTAGE,210TT241,0,4.7,BASXV04.7VH2,Car,420,8,AM14/,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4000,3.91,38.6,1,Not eqipped,BASX10011043,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0358,0.7897,551.4037,0.0272,,,,16,MPG,16.307,14.527,19.508,,45.78,0.0008,0.0217,22.05,0.4056,0.0239,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V8 VANTAGE,210TT241,0,4.7,BASXV04.7VH2,Car,420,8,AM14/,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4000,3.91,38.6,1,Not eqipped,BASX10011044,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0079,0.3147,333.29,0.054,,,,26.5,MPG,,,,,45.78,0.0008,0.0217,22.05,0.4056,0.0239,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V8 VANTAGE S,270TT244,0,4.7,BASXV04.7VH2,Car,430,8,AM15/,AM,Automated Manual,7,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4000,4.18,36.2,1,Not eqipped,BASX10011714,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.02898,0.64907,529.36,0.00786,,0.0038,0.0038,16.7,MPG,17.072,15.249,19.85,,45.78,0.0008,0.0217,22.05,0.4056,0.0239,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V8 VANTAGE S,270TT244,0,4.7,BASXV04.7VH2,Car,430,8,AM15/,AM,Automated Manual,7,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4000,4.18,36.2,1,Not eqipped,BASX10011715,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.00034,0.1417,306.95,0.00002,,,,28.8,MPG,,,,,45.78,0.0008,0.0217,22.05,0.4056,0.0239,TWC,Three-way catalyst,N,,,N,No averaging
