After Hours Change (Realtime),Annualized Gain,Ask,Ask (Realtime),Ask Size,Average Daily Volume,Bid,Bid (Realtime),Bid Size,Book Value Per Share,Change,Change Change In Percent,Change From Fiftyday Moving Average,Change From Two Hundredday Moving Average,Change From Year High,Change From Year Low,Change In Percent,Change In Percent (Realtime),Change (Realtime),Commission,Currency,Days High,Days Low,Days Range,Days Range (Realtime),Days Value Change,Days Value Change (Realtime),Dividend Pay Date,Trailing Annual Dividend Yield,Trailing Annual Dividend Yield In Percent,Diluted E P S,E B I T D A,E P S Estimate Current Year,E P S Estimate Next Quarter,E P S Estimate Next Year,Ex Dividend Date,Fiftyday Moving Average,Shares Float,High Limit,Holdings Gain,Holdings Gain Percent,Holdings Gain Percent (Realtime),Holdings Gain (Realtime),Holdings Value,Holdings Value (Realtime),Last Trade Date,Last Trade Price Only,Last Trade (Realtime) With Time,Last Trade Size,Last Trade Time,Last Trade With Time,Low Limit,Market Capitalization,Market Cap (Realtime),More Info,Name,Notes,Oneyr Target Price,Open,Order Book (Realtime),P E G Ratio,P E Ratio,P E Ratio (Realtime),Percent Change From Fiftyday Moving Average,Percent Change From Two Hundredday Moving Average,Change In Percent From Year High,Percent Change From Year Low,Previous Close,Price Book,Price E P S Estimate Current Year,Price E P S Estimate Next Year,Price Paid,Price Sales,Revenue,Shares Owned,Shares Outstanding,Short Ratio,Stock Exchange,Symbol,Ticker Trend,Trade Date,Trade Links,Trade Links Additional,Two Hundredday Moving Average,Volume,Year High,Year Low,Year Range
,,,,600.0,2652930.0,,,300.0,11.59,1.02,,1.34,-3.48,-39.77,3.5,0.0355,,,,,,,,,,,,,,,80060000.0,0.95,0.2,1.25,,28.45,105410000.0,,,,,,,,,29.79,,51168.0,,,,3310000000.0,,,,,36.37,,,1.16,,,0.046900000000000004,-0.10460000000000001,-0.5717,0.1331,,2.48,31.36,23.83,,4.89,653650000.0,,111210000.0,14.2,,,,,,,33.27,,,,
,,,,300.0,2197210.0,,,300.0,20.64,0.28,,1.15,8.43,-3.43,36.47,0.0017000000000000001,,,,,,,,,,,,,,,8539999999.999999,8.15,2.08,8.97,,165.92,631480000.0,,,,,,,,,167.07,,120121.0,,,,106050000000.0,,,,,168.36,,,2.15,,,0.006999999999999999,0.053099999999999994,-0.0201,0.2792,,8.08,20.5,18.63,,3.33,31820000000.0,,634749000.0,4.0,,,,,,,158.64,,,,
,,,,300.0,2115620.0,,,900.0,5.13,-0.59,,4.36,-4.12,-25.73,9.24,-0.0344,,,,,,,,,,,,,,,26020000.0,1.06,0.25,1.26,,12.19,20980000.0,,,,,,,,,16.55,,15775.0,,,,581680000.0,,,,,14.0,,,0.74,,,0.35810000000000003,-0.19920000000000002,-0.6086,1.264,,3.34,15.61,13.13,,6.44,93550000.0,,35147000.0,1.7,,,,,,,20.67,,,,
,,,,100.0,719414.0,,,200.0,5.75,-0.05,,7.52,11.97,-3.37,19.49,-0.0009,,,,,,,,,,,,,,,11330000.0,-1.03,-0.25,0.28,,46.61,31689000.0,,,,,,,,,54.13,,30540.0,,,,4770000000.0,,,,,48.91,,,-0.81,,,0.1613,0.2839,-0.058600000000000006,0.5626,,9.42,,193.32,,18.03,264980000.00000003,,88187000.0,10.9,,,,,,,42.16,,,,
,,,,100.0,66703.0,,,300.0,5.77,-0.18,,-0.39,-2.25,-5.32,0.17,-0.022000000000000002,,,,,,,,,,,,,,,6330000.0,0.03,0.0,0.12,,8.41,19178000.0,,,,,,,,,8.02,,2766.0,,,,174270000.0,,,,,3.0,,,0.0,,,-0.0464,-0.2189,-0.39880000000000004,0.0217,,1.42,267.33,66.83,,0.65,272790000.0,,21730000.0,4.7,,,,,,,10.27,,,,
,,,,10000.0,298924.0,,,2000.0,1.57,-0.07,,0.0,-0.39,-11.06,0.44,-0.0159,,,,,,,,,,,,,,,-22990000.0,-0.6,-0.16,-0.39,,4.34,35418000.0,,,,,,,,,4.34,,1186.0,,,,256190000.0,,,,,5.88,,,-0.34,,,0.0009,-0.0821,-0.7182,0.1128,,2.8,,,,1.45,179510000.0,,59030000.0,8.2,,,,,,,4.73,,,,
,,,,300.0,163113.0,,,3600.0,4.56,0.24,,1.61,4.56,-6.33,14.5,0.0075,,,,,,,,,,,,,,,16790000.0,0.64,0.12,1.01,,30.49,6973000.0,,,,,,,,,32.1,,897.0,,,,699330000.0,,,,,41.0,,,2.42,,,0.0529,0.1654,-0.16469999999999999,0.8239000000000001,,6.99,50.16,31.78,,5.71,121580000.0,,21786000.0,4.7,,,,,,,27.54,,,,
,,,,100.0,248529.0,,,200.0,24.31,0.04,,-1.01,2.7,-3.78,8.09,0.0013000000000000002,,,,,,,,,,,,,,,182100000.0,1.69,0.32,1.66,,31.47,36472000.0,,,,,,,,,30.46,,8914.0,,,,1180000000.0,,,,,34.6,,,1.51,,,-0.0322,0.0974,-0.1104,0.3616,,1.25,18.02,18.35,,0.61,1920000000.0,,38700000.0,6.7,,,,,,,27.76,,,,
,,,,200.0,588164.0,,,100.0,16.88,-0.04,,0.16,0.67,-7.98,5.51,-0.0014000000000000002,,,,,,,,,,,,,,,339110000.0,2.02,0.44,2.39,,28.6,64676000.0,,,,,,,,,28.76,,23076.0,,,,2089999999.9999998,,,,,35.71,,,0.79,,,0.005600000000000001,0.0239,-0.2172,0.237,,1.71,14.24,12.03,,0.77,2730000000.0,,72530000.0,5.5,,,,,,,28.09,,,,
,,,,200.0,1978960.0,,,200.0,7.2,-0.03,,0.4,0.33,-4.81,2.4,-0.0014000000000000002,,,,,,,,,,,,,,,5480000000.0,1.18,0.28,1.32,,21.14,2055666000.0,,,,,,,,,21.54,,12593.0,,,,48660000000.0,,,,,21.25,,,2.4,,,0.0187,0.015600000000000001,-0.1825,0.12539999999999998,,3.0,18.25,16.32,,1.22,39830000000.0,,2258899000.0,2.2,,,,,,,21.21,,,,
